precinct,method,candidate,votes
Telford,Provisional,BRIAN FITZPATRICK(REP),6
Telford,Total,ASHLEY EHASZ(DEM),610
Telford,Total,BRIAN FITZPATRICK(REP),709
Franconia 1,Election Day,ASHLEY EHASZ(DEM),****
Franconia 1,Election Day,BRIAN FITZPATRICK(REP),****
Franconia 1,Mail-in,ASHLEY EHASZ(DEM),****
Franconia 1,Mail-in,BRIAN FITZPATRICK(REP),****
Franconia 1,Provisional,ASHLEY EHASZ(DEM),****
Franconia 1,Provisional,BRIAN FITZPATRICK(REP),****
Franconia 1,Total,ASHLEY EHASZ(DEM),243
Franconia 1,Total,BRIAN FITZPATRICK(REP),636
Franconia 2,Election Day,ASHLEY EHASZ(DEM),****
Franconia 2,Election Day,BRIAN FITZPATRICK(REP),****
Franconia 2,Mail-in,ASHLEY EHASZ(DEM),****
Franconia 2,Mail-in,BRIAN FITZPATRICK(REP),****
Franconia 2,Provisional,ASHLEY EHASZ(DEM),****
Franconia 2,Provisional,BRIAN FITZPATRICK(REP),****
Franconia 2,Total,ASHLEY EHASZ(DEM),554
Franconia 2,Total,BRIAN FITZPATRICK(REP),771
Franconia 3,Election Day,ASHLEY EHASZ(DEM),****
Franconia 3,Election Day,BRIAN FITZPATRICK(REP),****
Franconia 3,Mail-in,ASHLEY EHASZ(DEM),****
Franconia 3,Mail-in,BRIAN FITZPATRICK(REP),****
Franconia 3,Provisional,ASHLEY EHASZ(DEM),****
Franconia 3,Provisional,BRIAN FITZPATRICK(REP),****
Franconia 3,Total,ASHLEY EHASZ(DEM),466
Franconia 3,Total,BRIAN FITZPATRICK(REP),820
Souderton 2,Election Day,Unresolved Write-In,2
Souderton 2,Mail-in,Unresolved Write-In,0
Souderton 2,Provisional,Unresolved Write-In,0
Souderton 2,Total,Unresolved Write-In,2
Souderton 3,Election Day,Unresolved Write-In,****
Souderton 3,Mail-in,Unresolved Write-In,****
Souderton 3,Provisional,Unresolved Write-In,****
Souderton 3,Total,Unresolved Write-In,1
Telford,Election Day,Unresolved Write-In,6
Telford,Mail-in,Unresolved Write-In,0
Telford,Provisional,Unresolved Write-In,0
Telford,Total,Unresolved Write-In,6
Franconia 1,Election Day,Unresolved Write-In,****
Franconia 1,Mail-in,Unresolved Write-In,****
Franconia 1,Provisional,Unresolved Write-In,****
Franconia 1,Total,Unresolved Write-In,4
Franconia 2,Election Day,Unresolved Write-In,****
Franconia 2,Mail-in,Unresolved Write-In,****
Franconia 2,Provisional,Unresolved Write-In,****
Franconia 2,Total,Unresolved Write-In,4
Franconia 3,Election Day,Unresolved Write-In,****
Franconia 3,Mail-in,Unresolved Write-In,****
Franconia 3,Provisional,Unresolved Write-In,****
Franconia 3,Total,Unresolved Write-In,2
