election,state,county,precinct,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lower Towamensing Township - South,ATTORNEY GENERAL,ROBERT COWBURN,LIB,,14,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - Mahoning,ATTORNEY GENERAL,DAVE SUNDAY,REP,,964,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - Mahoning,ATTORNEY GENERAL,ERIC L SETTLE,FWD,,7,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - Mahoning,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,,394,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - Mahoning,ATTORNEY GENERAL,JUSTIN L MAGILL,CON,,7,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - Mahoning,ATTORNEY GENERAL,RICHARD L WEISS,GRN,,11,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - Mahoning,ATTORNEY GENERAL,ROBERT COWBURN,LIB,,14,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - New Mahoning,ATTORNEY GENERAL,DAVE SUNDAY,REP,,400,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - New Mahoning,ATTORNEY GENERAL,ERIC L SETTLE,FWD,,1,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Mahoning Township - New Mahoning,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,,117,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
